id,image_file,image_path,sheet_x1,sheet_y1,sheet_x2,sheet_y2,band_masked_area_ratio,ocr_masked_area_ratio,band_signal_preservation_score,ocr_signal_preservation_score,band_leak_rate,ocr_leak_rate,band_uncovered_identifiers,ocr_uncovered_identifiers,identifier_count
h2_018,00018_hr_1R.png,h2/with-test-data/00018_hr_1R.png,88,128,2880,1800,0.323283,0.011723,0.619804,0.982922,0.0,0.0,0,0,4
h2_019,00019_hr_1R.png,h2/with-test-data/00019_hr_1R.png,552,280,2096,1528,0.323283,0.012039,0.949865,0.982191,1.0,0.0,4,0,4
h2_020,00020_hr_1R.png,h2/with-test-data/00020_hr_1R.png,640,344,3104,1608,0.323283,0.012596,1.0,0.979449,1.0,0.0,4,0,4
h2_021,00021_hr_1R.png,h2/with-test-data/00021_hr_1R.png,568,264,2904,1672,0.323283,0.011836,0.925934,0.988522,1.0,0.0,4,0,4
h2_022,00022_hr_1R.png,h2/with-test-data/00022_hr_1R.png,0,0,2824,1584,0.323283,0.01241,0.589491,0.970434,0.0,0.0,0,0,4
h2_023,00023_hr_1R.png,h2/with-test-data/00023_hr_1R.png,360,296,2920,1696,0.323283,0.011797,0.927193,0.955405,1.0,0.0,4,0,4
h2_024,00024_hr_1R.png,h2/with-test-data/00024_hr_1R.png,392,152,3024,1768,0.323283,0.012325,0.760248,0.984507,0.0,0.0,0,0,4
h2_025,00025_hr_1R.png,h2/with-test-data/00025_hr_1R.png,0,96,3072,1900,0.323283,0.012703,0.633738,0.98614,0.0,0.0,0,0,4
h2_026,00026_hr_1R.png,h2/with-test-data/00026_hr_1R.png,648,216,2968,1760,0.323283,0.012395,0.923887,0.962627,0.5,0.0,2,0,4
h2_027,00027_hr_1R.png,h2/with-test-data/00027_hr_1R.png,736,400,2992,1624,0.323283,0.011627,1.0,0.979964,1.0,0.0,4,0,4
h2_028,00028_hr_1R.png,h2/with-test-data/00028_hr_1R.png,160,112,3128,1808,0.323283,0.011723,0.673702,0.983705,0.0,0.0,0,0,4
h2_029,00029_hr_1R.png,h2/with-test-data/00029_hr_1R.png,472,288,3352,1816,0.323283,0.012039,0.875393,0.986485,1.0,0.0,4,0,4
h2_030,00030_hr_1R.png,h2/with-test-data/00030_hr_1R.png,320,144,3136,1872,0.323283,0.012596,0.746546,0.974999,0.0,0.0,0,0,4
h2_031,00031_hr_1R.png,h2/with-test-data/00031_hr_1R.png,608,400,2952,1616,0.323283,0.011836,1.0,0.971221,1.0,0.0,4,0,4
h2_032,00032_hr_1R.png,h2/with-test-data/00032_hr_1R.png,368,232,3200,1704,0.323283,0.01241,0.824038,0.976587,0.5,0.0,2,0,4
h2_033,00033_hr_1R.png,h2/with-test-data/00033_hr_1R.png,328,352,3280,1840,0.323283,0.011797,0.898625,0.950876,1.0,0.0,4,0,4
h2_034,00034_hr_1R.png,h2/with-test-data/00034_hr_1R.png,328,352,3280,1840,0.323283,0.012325,0.898658,0.949406,1.0,0.0,4,0,4
h2_035,00035_hr_1R.png,h2/with-test-data/00035_hr_1R.png,376,368,3120,1728,0.323283,0.012703,0.966467,0.979247,1.0,0.0,4,0,4
h2_036,00036_hr_1R.png,h2/with-test-data/00036_hr_1R.png,432,296,2824,1640,0.323283,0.012395,0.97207,0.981872,1.0,0.0,4,0,4
h2_037,00037_hr_1R.png,h2/with-test-data/00037_hr_1R.png,248,104,2904,1760,0.323283,0.011627,0.727378,0.965242,0.0,0.0,0,0,4
h2_038,00038_hr_1R.png,h2/with-test-data/00038_hr_1R.png,216,256,2872,1760,0.323283,0.011723,0.828915,0.968167,1.0,0.0,4,0,4
h2_039,00039_hr_1R.png,h2/with-test-data/00039_hr_1R.png,0,0,3392,1792,0.323283,0.012039,0.488868,0.96694,0.0,0.0,0,0,4
h2_040,00040_hr_1R.png,h2/with-test-data/00040_hr_1R.png,168,216,3136,1752,0.323283,0.012596,0.769301,0.959983,0.5,0.0,2,0,4
h2_041,00041_hr_1R.png,h2/with-test-data/00041_hr_1R.png,1704,248,2376,1264,0.323283,0.010734,0.975323,0.993669,1.0,0.0,4,0,4
h2_042,00042_hr_1R.png,h2/with-test-data/00042_hr_1R.png,0,0,3460,1900,0.323283,0.01241,0.836092,0.988639,0.0,0.0,0,0,4
h2_043,00043_hr_1R.png,h2/with-test-data/00043_hr_1R.png,200,184,3328,1864,0.323283,0.011797,0.748648,0.976311,0.0,0.0,0,0,4
h2_044,00044_hr_1R.png,h2/with-test-data/00044_hr_1R.png,488,360,2728,1752,0.323283,0.012325,0.912818,0.985028,1.0,0.0,4,0,4
h2_045,00045_hr_1R.png,h2/with-test-data/00045_hr_1R.png,704,232,3040,1616,0.323283,0.012703,0.890615,0.97188,0.5,0.0,2,0,4
h2_046,00046_hr_1R.png,h2/with-test-data/00046_hr_1R.png,216,256,2872,1760,0.323283,0.012395,0.828944,0.964549,1.0,0.0,4,0,4
h2_047,00047_hr_1R.png,h2/with-test-data/00047_hr_1R.png,312,48,3456,1900,0.323283,0.011627,0.715428,0.975703,0.0,0.0,0,0,4
h2_048,00048_hr_1R.png,h2/with-test-data/00048_hr_1R.png,304,256,3232,1768,0.323283,0.011723,0.856332,0.97369,1.0,0.0,4,0,4
h2_049,00049_hr_1R.png,h2/with-test-data/00049_hr_1R.png,368,304,2928,1760,0.323283,0.012039,0.866303,0.961918,1.0,0.0,4,0,4
h2_050,00050_hr_1R.png,h2/with-test-data/00050_hr_1R.png,520,392,3328,1712,0.323283,0.012596,0.995094,0.964832,1.0,0.0,4,0,4
h2_051,00051_hr_1R.png,h2/with-test-data/00051_hr_1R.png,0,0,3460,1900,0.323283,0.011836,0.598172,0.974754,0.0,0.0,0,0,4
h2_052,00052_hr_1R.png,h2/with-test-data/00052_hr_1R.png,432,360,3016,1584,0.323283,0.01241,1.0,0.967432,1.0,0.0,4,0,4
h2_053,00053_hr_1R.png,h2/with-test-data/00053_hr_1R.png,360,208,2936,1680,0.323283,0.011797,0.87962,0.971475,0.5,0.0,2,0,4
h2_054,00054_hr_1R.png,h2/with-test-data/00054_hr_1R.png,576,256,3072,1808,0.323283,0.012325,0.85504,0.989101,1.0,0.0,4,0,4
h2_055,00055_hr_1R.png,h2/with-test-data/00055_hr_1R.png,704,232,3040,1616,0.323283,0.012703,0.888134,0.970086,0.5,0.0,2,0,4
h2_056,00056_hr_1R.png,h2/with-test-data/00056_hr_1R.png,352,232,3224,1864,0.323283,0.012395,0.725216,0.988614,0.5,0.0,2,0,4
h2_057,00057_hr_1R.png,h2/with-test-data/00057_hr_1R.png,0,0,3460,1900,0.323283,0.011627,0.644197,0.982096,0.0,0.0,0,0,4
h2_058,00058_hr_1R.png,h2/with-test-data/00058_hr_1R.png,288,176,3024,1744,0.323283,0.011723,0.745075,0.958529,0.0,0.0,0,0,4
h2_059,00059_hr_1R.png,h2/with-test-data/00059_hr_1R.png,736,304,3024,1680,0.323283,0.012039,0.924298,0.982846,1.0,0.0,4,0,4
h2_060,00060_hr_1R.png,h2/with-test-data/00060_hr_1R.png,440,184,2976,1840,0.323283,0.012596,0.82057,0.991209,0.25,0.0,1,0,4
h2_061,00061_hr_1R.png,h2/with-test-data/00061_hr_1R.png,0,0,3460,1900,0.323283,0.011836,0.60578,0.990226,0.0,0.0,0,0,4
h2_062,00062_hr_1R.png,h2/with-test-data/00062_hr_1R.png,0,0,3460,1900,0.323283,0.01241,0.678206,0.978962,0.0,0.0,0,0,4
h2_063,00063_hr_1R.png,h2/with-test-data/00063_hr_1R.png,528,128,2904,1736,0.323283,0.011797,0.648985,0.957215,0.0,0.0,0,0,4
h2_064,00064_hr_1R.png,h2/with-test-data/00064_hr_1R.png,472,296,2872,1752,0.323283,0.012325,0.902577,0.962912,1.0,0.0,4,0,4
h2_065,00065_hr_1R.png,h2/with-test-data/00065_hr_1R.png,0,0,3460,1900,0.323283,0.012703,0.674555,0.999589,0.0,0.0,0,0,4
h2_066,00066_hr_1R.png,h2/with-test-data/00066_hr_1R.png,0,0,3460,1900,0.323283,0.012395,0.654274,0.98314,0.0,0.0,0,0,4
h2_067,00067_hr_1R.png,h2/with-test-data/00067_hr_1R.png,0,0,3460,1900,0.323283,0.011627,0.60578,0.990226,0.0,0.0,0,0,4
h2_068,00068_hr_1R.png,h2/with-test-data/00068_hr_1R.png,352,280,2840,1824,0.323283,0.011723,0.809598,0.987936,1.0,0.0,4,0,4
h2_069,00069_hr_1R.png,h2/with-test-data/00069_hr_1R.png,1216,296,2904,1584,0.323283,0.012039,0.943718,0.992405,1.0,0.0,4,0,4
h2_070,00070_hr_1R.png,h2/with-test-data/00070_hr_1R.png,432,360,3016,1584,0.323283,0.012596,1.0,0.968527,1.0,0.0,4,0,4
h2_071,00071_hr_1R.png,h2/with-test-data/00071_hr_1R.png,0,0,3460,1900,0.323283,0.011836,0.706901,0.988962,0.0,0.0,0,0,4
h2_072,00072_hr_1R.png,h2/with-test-data/00072_hr_1R.png,504,264,2936,1768,0.323283,0.01241,0.824978,0.984982,1.0,0.0,4,0,4
h2_073,00073_hr_1R.png,h2/with-test-data/00073_hr_1R.png,384,216,3256,1824,0.323283,0.011797,0.791955,0.969899,0.5,0.0,2,0,4
h2_074,00074_hr_1R.png,h2/with-test-data/00074_hr_1R.png,576,256,3072,1808,0.323283,0.012325,0.855061,0.989228,1.0,0.0,4,0,4
h2_075,00075_hr_1R.png,h2/with-test-data/00075_hr_1R.png,32,176,3048,1872,0.323283,0.012703,0.528329,0.979964,0.0,0.0,0,0,4
h2_076,00076_hr_1R.png,h2/with-test-data/00076_hr_1R.png,344,88,3408,1900,0.323283,0.012395,0.686278,0.974302,0.0,0.0,0,0,4
h2_077,00077_hr_1R.png,h2/with-test-data/00077_hr_1R.png,568,272,3160,1712,0.323283,0.011627,0.91026,0.980653,1.0,0.0,4,0,4
h2_078,00078_hr_1R.png,h2/with-test-data/00078_hr_1R.png,576,224,2872,1720,0.323283,0.011723,0.760206,0.931523,0.5,0.0,2,0,4
h2_079,00079_hr_1R.png,h2/with-test-data/00079_hr_1R.png,296,184,3176,1808,0.323283,0.012039,0.782771,0.974489,0.25,0.0,1,0,4
h2_080,00080_hr_1R.png,h2/with-test-data/00080_hr_1R.png,432,288,2960,1680,0.323283,0.012596,0.912317,0.983198,1.0,0.0,4,0,4
h2_081,00081_hr_1R.png,h2/with-test-data/00081_hr_1R.png,488,256,2792,1688,0.323283,0.011836,0.946514,0.979278,1.0,0.0,4,0,4
h2_082,00082_hr_1R.png,h2/with-test-data/00082_hr_1R.png,344,192,2824,1720,0.323283,0.01241,0.783613,0.959286,0.5,0.0,2,0,4
h2_083,00083_hr_1R.png,h2/with-test-data/00083_hr_1R.png,528,128,2904,1736,0.323283,0.011797,0.64902,0.957219,0.0,0.0,0,0,4
h2_084,00084_hr_1R.png,h2/with-test-data/00084_hr_1R.png,504,336,2968,1616,0.323283,0.012325,0.986803,0.977333,1.0,0.0,4,0,4
h2_085,00085_hr_1R.png,h2/with-test-data/00085_hr_1R.png,472,296,2872,1752,0.323283,0.012703,0.902595,0.960541,1.0,0.0,4,0,4
h2_086,00086_hr_1R.png,h2/with-test-data/00086_hr_1R.png,0,0,3460,1900,0.323283,0.012395,0.767891,0.999812,0.0,0.0,0,0,4
h2_087,00087_hr_1R.png,h2/with-test-data/00087_hr_1R.png,416,240,2848,1760,0.323283,0.011627,0.92492,0.986965,0.5,0.0,2,0,4
h2_088,00088_hr_1R.png,h2/with-test-data/00088_hr_1R.png,536,352,2992,1584,0.323283,0.011723,1.0,0.95436,1.0,0.0,4,0,4
h2_089,00089_hr_1R.png,h2/with-test-data/00089_hr_1R.png,568,136,3136,1768,0.323283,0.012039,0.763102,0.989842,0.0,0.0,0,0,4
h2_090,00090_hr_1R.png,h2/with-test-data/00090_hr_1R.png,232,280,2992,1688,0.323283,0.012596,0.914044,0.961968,1.0,0.0,4,0,4
h2_091,00091_hr_1R.png,h2/with-test-data/00091_hr_1R.png,1216,296,2904,1584,0.323283,0.011836,0.943709,0.991112,1.0,0.0,4,0,4
h2_092,00092_hr_1R.png,h2/with-test-data/00092_hr_1R.png,1984,216,3088,768,0.323283,0.01241,0.862135,0.975495,0.5,0.0,2,0,4
h2_093,00093_hr_1R.png,h2/with-test-data/00093_hr_1R.png,352,304,3072,1768,0.323283,0.011797,0.948078,0.985781,1.0,0.0,4,0,4
h2_094,00094_hr_1R.png,h2/with-test-data/00094_hr_1R.png,0,0,3460,1900,0.323283,0.012325,0.671071,1.0,0.0,0.0,0,0,4
h2_095,00095_hr_1R.png,h2/with-test-data/00095_hr_1R.png,32,0,3460,1776,0.323283,0.012703,0.568697,0.968549,0.0,0.0,0,0,4
h2_096,00096_hr_1R.png,h2/with-test-data/00096_hr_1R.png,712,288,2952,1640,0.323283,0.012395,0.899594,0.964225,1.0,0.0,4,0,4
h2_097,00097_hr_1R.png,h2/with-test-data/00097_hr_1R.png,728,368,2888,1616,0.323283,0.011627,1.0,0.985126,1.0,0.0,4,0,4
h2_098,00098_hr_1R.png,h2/with-test-data/00098_hr_1R.png,1256,456,2808,1664,0.323283,0.011723,1.0,0.931877,1.0,0.0,4,0,4
h2_099,00099_hr_1R.png,h2/with-test-data/00099_hr_1R.png,488,336,2752,1688,0.323283,0.012039,0.985808,0.979664,1.0,0.0,4,0,4
h2_100,00100_hr_1R.png,h2/with-test-data/00100_hr_1R.png,0,0,3460,1900,0.323283,0.012596,0.744452,0.990404,0.0,0.0,0,0,4
